Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"f5+pot/Cyclic 4/Q,Grevlex",1.6336659177363896e-3,1.6216696782055775e-3,1.6491867863406492e-3,5.0507865052847066e-5,3.519103508740297e-5,7.064183339038038e-5
"f5+pot/Cyclic 4/Q,Lex",3.085787379120017e-3,3.0617995588387917e-3,3.113476252859994e-3,8.431887928782112e-5,6.635866389784999e-5,1.1172675593005426e-4
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"f5+pot/Cyclic 4/Q,Grevlex",1.6105292038894091e-3,1.5906802344004716e-3,1.6674350584522496e-3,1.0368990986799814e-4,4.3040694040451156e-5,1.98284238865592e-4
"f5+pot/Cyclic 4/Q,Lex",3.0427971787329576e-3,3.0016936648337026e-3,3.11640740252157e-3,1.8108844990121173e-4,1.0662234194799741e-4,3.2422779625356895e-4
"f5+pot/Cyclic 4/F_65521,Grevlex",9.618325762929038e-4,9.539776444697431e-4,9.686684829391735e-4,2.4036273328943095e-5,1.7315511768371458e-5,3.246272910240295e-5
"f5+pot/Cyclic 4/F_65521,Lex",2.369942485248104e-3,2.3524705678175527e-3,2.390835496406493e-3,6.217867688048516e-5,4.9854084680755525e-5,8.461156539679051e-5
"f5+pot/Cyclic 5/Q,Grevlex",0.1525544968129365,0.15152184794626983,0.15448012980777778,2.225423972872254e-3,1.3079170440708553e-3,3.2828058311024045e-3
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Cyclic-4/f5+pot/Q,Grevlex",1.7150929382288545e-3,1.6713108043102704e-3,1.8679835962272086e-3,2.5973165207438626e-4,8.768695394839653e-5,5.195660573497783e-4
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
