solution/4-ary-05/companion,1.0,0.9821551014613273,1.02579937607885
solution/4-ary-05/lefteigen,1.0,0.9815125983272489,1.0257248203816174
solution/4-ary-05/naive,1.0,0.9617719197714423,1.0612288193075778
solution/4-ary-06/companion,1.0,0.9802319700639491,1.0289826353918219
solution/4-ary-06/lefteigen,1.0,0.8787445745508523,1.265093279020122
solution/4-ary-06/naive,1.0,0.9888930488440068,1.0159787699300238
solution/4-ary-07/companion,1.0,0.967862095288885,1.0399638531071527
solution/4-ary-07/lefteigen,1.0,0.9687668897381976,1.0438825286944677
solution/4-ary-07/naive,1.0,0.9885023038941496,1.0176346591622125
solution/ternary-01/companion,1.0,0.9487242538526431,1.1620823563746703
solution/ternary-01/lefteigen,1.0,0.9651077001742797,1.0906211389062805
solution/ternary-01/naive,1.0,0.984463013043449,1.0442065224878885
solution/ternary-02/companion,1.0,0.978505981660109,1.0312983420787851
solution/ternary-02/lefteigen,1.0,0.8631003529923237,1.2426367496364277
solution/ternary-02/naive,1.0,0.9558994706696889,1.0916987627177925
solution/ternary-03/companion,1.0,0.9057590968389199,1.1598353734704137
solution/ternary-03/lefteigen,1.0,0.9089245150448627,1.17795920109462
solution/ternary-03/naive,1.0,0.9634273698550362,1.0919125970939008
solution/ternary-04/companion,1.0,0.9921029528230405,1.0113592012160568
solution/ternary-04/lefteigen,1.0,0.9479716017451375,1.134966018099894
solution/ternary-04/naive,1.0,0.9860742458249345,1.0200540091559502
